dmX,stationName,dmY
36.305084,옥천읍,127.570789
35.798946,삼천동,127.121698
35.851533,팔복동,127.087
35.867398,송천동,127.117517
35.833725,서신동,127.122751
35.846502,혁신동,127.062725
35.869596,여의동,127.074632
35.798146,효자동,127.095423
35.97285,신풍동(군산),126.700733
35.973333,소룡동,126.651417
35.964063,사정동,126.753221
35.93937,옥산면,126.74836
35.94904,비응도동,126.58341
35.858226,말도,126.315328
35.959167,소룡동2,126.596692
36.0202555,삼기면,126.9838398
35.961633,팔봉동,127.004233
35.9546,모현동,126.9414
36.1097343,용동면,126.9915668
36.07865,함열읍,126.96658
35.90103,춘포면,127.005272
36.059713,여산면,127.08331
35.985621,금마면,127.047468
35.568445,연지동,126.845886
35.688298,신태인,126.88977
35.608889,영파동,126.852778
35.409278,죽항동,127.384754
35.439481,운봉읍,127.529153
35.438094,고창읍,126.71279
35.5241766,심원면,126.5508918
35.724299,부안읍,126.734415
35.6971,새만금,126.55916
35.761674,계화면,126.698103
35.80491,요촌동,126.891416
35.8357126,광활면,126.7404835
35.976403,고산면,127.205523
35.941567,봉동읍,127.165783
35.728611,구이면,127.136111
35.797189,진안읍,127.434893
35.610533,운암면,127.186217
35.614526,임실읍,127.286329
35.673703,관촌면,127.270625
36.008716,무주읍,127.662077
35.860351,안성면,127.654429
35.3744761,순창읍,127.1373331
35.6473136,장수읍,127.5211775
35.72812,장계면,127.587812
36.076309,서천읍,126.698383
36.15287,서면,126.549494
36.0082698,장항읍,126.6931231
36.429289,청송읍,129.056178
35.974693,군산항,126.58676
37.468333,신흥,126.635
37.460709,서해,126.631266
37.494835,영종,126.563919
37.473818,송림,126.643199
37.449722,구월동,126.724167
37.4725,숭의,126.6686
37.457778,석바위,126.690833
37.491281,부평역,126.724189
37.441164,남동,126.706817
37.455474,주안,126.692888
37.4903861,부평,126.7236421
37.545556,연희,126.675833
37.602041,검단,126.661444
37.50353,중봉,126.64794
37.546111,계산,126.730278
37.52922,효성,126.71511
37.543224,임학,126.737849
37.404839,고잔,126.697158
37.4274,서창,126.7461
37.502778,석남,126.674722
37.764444,송해,126.463333
37.409493,동춘,126.678309
37.49659,운서,126.487769
37.480664,송현,126.63582
37.404167,논현,126.726111
37.537745,청라,126.63879
37.382084,송도,126.654663
37.40508,아암,126.63227
37.5941,원당,126.6986
37.640887,길상,126.490972
37.51279,삼산,126.73643
37.566459,경인항,126.595122
37.463043,인천항,126.624209
37.353438,인천 신항,126.627168
37.496332,인천 북항,126.643072
37.443333,인천 남항,126.602777
37.4800328,소사본동,126.7999056
37.5203,내동,126.7737
37.4939,중2동,126.7701
37.5278,오정동,126.7967
37.5056,송내대로(중동),126.759
